5_1_F,5_1_D,7_1_F,7_1_D,8_1_F,8_1_D,10_1_F,10_1_D,9_1_F,9_1_D,9_2_F,9_2_D,24_1_F,24_1_D,1_1_F,1_1_D,1_2_F,1_2_D,2_1_F,2_1_D,20_1_F,20_1_D,19_1_F,19_1_D
1.372337,0.12775,1.978556,0.127375,1.724561,0.127125,1.825968,0.127375,1.93882,0.127375,2.00812,0.12775,1.850764,0.128125,1.208623,0.128,1.467387,0.12825,0.620842,0.12875,0.8249283,0.128375,0.8621216,0.128
1.380602,0.131,1.999219,0.131375,1.734734,0.13175,1.836141,0.132,1.939456,0.132375,2.019564,0.131875,1.854897,0.131625,1.205444,0.132375,1.468658,0.13175,0.6198883,0.132125,0.8319219,0.132125,0.8719762,0.131625
1.391411,0.135125,2.018611,0.135875,1.744906,0.135625,1.842499,0.1355,1.940409,0.13575,2.031962,0.1355,1.86348,0.135625,1.20163,0.136125,1.473109,0.135625,0.6211599,0.136,0.8414586,0.136375,0.8824666,0.135875
1.406352,0.139625,2.036412,0.139625,1.754761,0.139625,1.848539,0.139625,1.944542,0.139875,2.044042,0.14,1.873334,0.140375,1.201948,0.140125,1.477242,0.140875,0.6202062,0.14125,0.8487701,0.14075,0.8885066,0.14075
1.420657,0.144125,2.053261,0.14375,1.766841,0.143625,1.855214,0.143875,1.950582,0.144,2.053579,0.144375,1.879692,0.144375,1.201312,0.1445,1.481374,0.144625,0.6167094,0.144875,0.852267,0.144875,0.8907318,0.144375
1.432419,0.14775,2.069791,0.147875,1.780192,0.148,1.858075,0.1485,1.957258,0.14875,2.062162,0.148375,1.883825,0.14825,1.197815,0.148875,1.489957,0.148125,0.6182988,0.148375,0.8544922,0.14875,0.893275,0.148375
1.443863,0.1515,2.085368,0.152375,1.790365,0.152125,1.859983,0.152,1.966476,0.152125,2.073288,0.15225,1.886686,0.15225,1.194636,0.1525,1.499176,0.152375,0.626564,0.15275,0.8586248,0.152875,0.8964539,0.152875
1.457214,0.15625,2.099355,0.15625,1.795451,0.156125,1.862208,0.15625,1.978874,0.156375,2.084732,0.156625,1.882235,0.157,1.197497,0.156625,1.502991,0.157625,0.6341934,0.157875,0.8630753,0.1575,0.8999507,0.157375
1.469294,0.16075,2.109845,0.16025,1.798948,0.16025,1.858393,0.16075,1.988411,0.16075,2.09109,0.161125,1.86793,0.161125,1.207034,0.161125,1.505534,0.161,0.6380081,0.161,0.8662542,0.161375,0.9053548,0.160875
1.478195,0.164375,2.117475,0.1645,1.799583,0.164875,1.848221,0.165125,1.992544,0.165125,2.089183,0.165,1.853307,0.16475,1.218478,0.16525,1.513799,0.16475,0.6424586,0.165,0.8662542,0.1655,0.9133021,0.165125
1.484553,0.16825,2.123833,0.168875,1.793226,0.168625,1.838366,0.168625,1.993815,0.168625,2.083778,0.169,1.848857,0.16925,1.230558,0.168875,1.523336,0.169625,0.6481807,0.169625,0.8637111,0.16975,0.9218852,0.169875
1.489004,0.172875,2.129237,0.173,1.784643,0.173,1.834869,0.173,1.992226,0.173,2.078374,0.173375,1.853625,0.173625,1.243909,0.17325,1.52874,0.174125,0.6516774,0.17425,0.8643468,0.174125,0.9304683,0.174
1.490911,0.17725,2.134005,0.176875,1.777331,0.177,1.839956,0.1775,1.986504,0.1775,2.070427,0.17775,1.865387,0.17775,1.2544,0.177625,1.534144,0.1775,0.6532669,0.17725,0.872612,0.178,0.9415944,0.177375
1.491865,0.181125,2.140999,0.181375,1.771609,0.181625,1.848539,0.18175,1.976967,0.18175,2.059301,0.1815,1.881917,0.1815,1.260757,0.18175,1.544317,0.1815,0.6532669,0.18175,0.8831024,0.182125,0.9530385,0.182
